u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,speed_kph,travel_time,road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v,bridge,tunnel,access,junction
320898113,1771676846,0,165628706,trunk,,,复兴路,True,G108,False,44.29739843301083,"LINESTRING (116.2683438 39.90629, 116.2678245 39.9062857)",72.99638989169675,2.1846372758357266,edge_000365,320898113,1771676846,0,165628706,node_000328,node_003231,,,,
1833354320,1835274654,0,"[1411402716, 156340963, 1061807036]",trunk,,,南三环,True,,False,648.8256196724876,"LINESTRING (116.3230861 39.8477202, 116.3237888 39.847647, 116.3243368 39.8476163, 116.3247778 39.8475998, 116.3268555 39.8475729, 116.3277389 39.8475719, 116.3306774 39.847551)",72.99638989169675,31.998462311444346,edge_000366,1833354320,1835274654,0,"[1411402716, 156340963, 1061807036]",node_000329,node_001464,yes,,,
11113612373,1949686401,0,478367525,trunk,,,京沈路,True,G101;G111,False,543.7725382025505,"LINESTRING (116.6078154 40.1520915, 116.6083189 40.1523352, 116.6132209 40.1547078)",72.99638989169675,26.817506186725193,edge_000367,11113612373,1949686401,0,478367525,node_000330,node_002275,,,,
11113612376,1703021623,0,158054624,trunk,2,70,京沈路,True,G101;G111,False,700.3013216524274,"LINESTRING (116.6251657 40.1604918, 116.6260159 40.1609071, 116.6265154 40.161146, 116.6279174 40.1618922, 116.6286562 40.1623278, 116.6291918 40.1626912, 116.6299874 40.1632579, 116.6307455 40.1638546, 116.6310369 40.1641218, 116.6314554 40.1645057)",70.0,36.015496542124836,edge_000368,11113612376,1703021623,0,158054624,node_000331,node_000959,,,,
331007064,1985004075,0,187862248,motorway_link,,,,True,,False,171.96979615518944,"LINESTRING (116.4727132 39.8095872, 116.4729776 39.8095354, 116.473142 39.8094912, 116.4732722 39.8094436, 116.4733896 39.8093665, 116.4734793 39.8092763, 116.4735562 39.8091665, 116.4735989 39.8090484, 116.4736053 39.8089516, 116.4735775 39.8088057, 116.4733849 39.8084681)",51.666666666666664,11.982411603071265,edge_000369,331007064,1985004075,0,187862248,node_000332,node_000198,,,,
2453767258,2453767259,0,237483510,trunk_link,,,,True,,False,32.90105063369005,"LINESTRING (116.3943628 39.8411606, 116.3947477 39.841175)",48.75,2.4296160467955725,edge_000370,2453767258,2453767259,0,237483510,node_000333,node_000334,,,,
2453767258,2453767261,0,42415356,trunk,,,南苑路,True,G104;G105,False,41.17068515164007,"LINESTRING (116.3943628 39.8411606, 116.394376 39.8410114, 116.3943974 39.8407913)",72.99638989169675,2.0304355703865222,edge_000371,2453767258,2453767261,0,42415356,node_000333,node_000336,,,,
2453767259,9794727799,0,106996959,trunk,,,南苑路,True,G104;G105,False,316.2310875792202,"LINESTRING (116.3947477 39.841175, 116.3945946 39.8440165)",72.99638989169675,15.595729007616143,edge_000372,2453767259,9794727799,0,106996959,node_000334,node_004259,,,,
2453767260,2453767261,0,237483511,trunk_link,,,,True,,False,32.91995845653759,"LINESTRING (116.3947827 39.8408025, 116.3943974 39.8407913)",48.75,2.431012316790468,edge_000373,2453767260,2453767261,0,237483511,node_000335,node_000336,,,,
2453767260,2453767259,0,106996959,trunk,,,南苑路,True,G104;G105,False,41.52802588488296,"LINESTRING (116.3947827 39.8408025, 116.3947611 39.8410244, 116.3947477 39.841175)",72.99638989169675,2.048058724649124,edge_000374,2453767260,2453767259,0,106996959,node_000335,node_000334,,,,
2453767261,529537661,0,42415356,trunk,,,南苑路,True,G104;G105,False,585.3915769933535,"LINESTRING (116.3943974 39.8407913, 116.3944656 39.8392174, 116.3945686 39.8373421, 116.394668 39.8355309)",72.99638989169675,28.8700534410372,edge_000375,2453767261,529537661,0,42415356,node_000336,node_002271,,,,
11113612381,3005389631,0,42664026,trunk,2,70,京沈路,True,G101;G111,False,156.37108699361968,"LINESTRING (116.6356555 40.1769069, 116.6356649 40.1773604, 116.6356847 40.178313)",70.0,8.041941616814727,edge_000376,11113612381,3005389631,0,42664026,node_000337,node_002331,,,,
11779589230,529538894,0,"[42415458, 175226685]",trunk,,,"['南苑路', '永定门外大街']",True,G104;G105,False,284.8627876657114,"LINESTRING (116.3935545 39.8574287, 116.3936126 39.8560892, 116.3936446 39.8555747, 116.3936884 39.854869)",72.99638989169675,14.04872264392915,edge_000377,11779589230,529538894,0,"[42415458, 175226685]",node_000338,node_002660,yes,,,
11072406641,13282290831,0,1156210127,trunk,2,,长阳大街,True,G107,False,882.5326648894825,"LINESTRING (116.2086422 39.7854621, 116.2086871 39.7853203, 116.2086922 39.7853072, 116.2088764 39.7848327, 116.2092511 39.7836934, 116.2095354 39.7826566, 116.2099681 39.7810596, 116.2103831 39.7789251, 116.2104193 39.7784392, 116.2105022 39.7778002, 116.2105222 39.7776721)",72.99638989169675,43.52431124766528,edge_000378,11072406641,13282290831,0,1156210127,node_000339,node_004020,,,,
8195851378,2417303509,0,734272286,motorway_link,,,,True,,False,177.4569739867077,"LINESTRING (116.3085509 40.0378779, 116.3087627 40.0376028, 116.3089712 40.0373606, 116.3093687 40.0369749, 116.309824 40.0366232)",51.666666666666664,12.364743993912537,edge_000379,8195851378,2417303509,0,734272286,node_000340,node_002696,yes,,,
