osmid,y,x,street_count,road_node_id,original_node_id,highway,ref,junction,geometry
1634302179,39.9675481,116.4238827,3,node_005236,1634302179,,,,POINT (116.4238827 39.9675481)
1317779685,39.7923891,116.1099487,4,node_005237,1317779685,,,,POINT (116.1099487 39.7923891)
5348391143,40.0077519,116.4475228,3,node_005238,5348391143,,,,POINT (116.4475228 40.0077519)
5348391144,40.0079978,116.4470257,3,node_005239,5348391144,motorway_junction,3,,POINT (116.4470257 40.0079978)
11111053549,39.8840079,116.6614751,4,node_005240,11111053549,,,,POINT (116.6614751 39.8840079)
5348391153,40.0066982,116.4432227,3,node_005241,5348391153,,,,POINT (116.4432227 40.0066982)
5348391154,40.0066604,116.4440077,4,node_005242,5348391154,,,,POINT (116.4440077 40.0066604)
5348391162,40.004569,116.445914,3,node_005243,5348391162,,,,POINT (116.445914 40.004569)
534575358,39.8293424,116.2030998,3,node_005244,534575358,traffic_signals,,,POINT (116.2030998 39.8293424)
610908415,39.9917373,116.3705591,3,node_005245,610908415,,,,POINT (116.3705591 39.9917373)
534575362,39.8417103,116.2025725,3,node_005246,534575362,,,,POINT (116.2025725 39.8417103)
1891399939,39.9272993,116.2062372,3,node_005247,1891399939,,,,POINT (116.2062372 39.9272993)
534575364,39.8416819,116.2029087,3,node_005248,534575364,,,,POINT (116.2029087 39.8416819)
656046341,39.936462,116.3497176,5,node_005249,656046341,traffic_signals,,,POINT (116.3497176 39.936462)
534575367,39.8426982,116.2029916,3,node_005250,534575367,,,,POINT (116.2029916 39.8426982)
534575368,39.8427071,116.2028726,3,node_005251,534575368,,,,POINT (116.2028726 39.8427071)
534575371,39.8420592,116.2021639,3,node_005252,534575371,,,,POINT (116.2021639 39.8420592)
9662232845,40.0181481,116.3505842,3,node_005253,9662232845,,,,POINT (116.3505842 40.0181481)
534575376,39.8418883,116.2033531,3,node_005254,534575376,,,,POINT (116.2033531 39.8418883)
1667135761,40.0150803,116.5163371,3,node_005255,1667135761,,,,POINT (116.5163371 40.0150803)
3458726162,39.7890739,116.4458112,4,node_005256,3458726162,traffic_signals,,,POINT (116.4458112 39.7890739)
3458726163,39.7898737,116.4457489,4,node_005257,3458726163,traffic_signals,,,POINT (116.4457489 39.7898737)
256833814,40.0270245,116.5473087,3,node_005258,256833814,,,,POINT (116.5473087 40.0270245)
13742766360,40.0866881,116.2981983,3,node_005259,13742766360,,,,POINT (116.2981983 40.0866881)
9671457057,39.9072316,116.4299968,3,node_005260,9671457057,,,,POINT (116.4299968 39.9072316)
13255391524,39.9654854,116.4571081,3,node_005261,13255391524,,,,POINT (116.4571081 39.9654854)
13255391526,39.9675648,116.4592436,3,node_005262,13255391526,,,,POINT (116.4592436 39.9675648)
273103145,39.7501142,116.564374,3,node_005263,273103145,,,,POINT (116.564374 39.7501142)
11289065771,39.8773857,116.2890504,5,node_005264,11289065771,,,,POINT (116.2890504 39.8773857)
13255391532,39.9838325,116.4774713,3,node_005265,13255391532,motorway_junction,2,,POINT (116.4774713 39.9838325)
11289065772,39.8773292,116.2888745,5,node_005266,11289065772,,,,POINT (116.2888745 39.8773292)
13255391534,39.9861197,116.480125,3,node_005267,13255391534,,,,POINT (116.480125 39.9861197)
13255391542,39.9862891,116.4798087,3,node_005268,13255391542,,,,POINT (116.4798087 39.9862891)
5319899447,39.874458,116.0493987,3,node_005269,5319899447,,,,POINT (116.0493987 39.874458)
4721080631,39.9485529,116.4362489,3,node_005270,4721080631,,,,POINT (116.4362489 39.9485529)
13255391547,39.9839078,116.4773349,3,node_005271,13255391547,,,,POINT (116.4773349 39.9839078)
1667135803,40.0161925,116.5145409,3,node_005272,1667135803,,,,POINT (116.5145409 40.0161925)
9682499901,40.1074379,116.5564029,4,node_005273,9682499901,,,,POINT (116.5564029 40.1074379)
9682499902,40.1074111,116.5564959,5,node_005274,9682499902,,,,POINT (116.5564959 40.1074111)
604961088,40.0592138,116.4763123,3,node_005275,604961088,motorway_junction,5B,,POINT (116.4763123 40.0592138)
13255391554,40.0072867,116.5030535,3,node_005276,13255391554,motorway_junction,4,,POINT (116.5030535 40.0072867)
13255391555,40.0077261,116.5038174,3,node_005277,13255391555,,,,POINT (116.5038174 40.0077261)
