road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v
edge_005310,1421587310,1421587307,0,128690895,node_004615,node_004613
edge_005311,1421587310,1817905777,0,176576446,node_004615,node_000822
edge_005312,9150886769,8972272900,0,183822175,node_004616,node_000379
edge_005313,9150886769,9150886760,0,183822175,node_004616,node_004611
edge_005314,1421587315,233761003,0,128690879,node_004617,node_003645
edge_005315,1421587318,1421587315,0,"[1421530257, 727275047]",node_004618,node_004617
edge_005316,1421587319,1421587318,0,128690901,node_004619,node_004618
edge_005317,1421587319,1421587391,0,"[128690929, 170261276]",node_004619,node_004647
edge_005318,9150886777,9150886787,0,183822175,node_004620,node_004626
edge_005319,9150886777,8972272900,0,183822175,node_004620,node_000379
edge_005320,1421587325,1421587319,0,"[128690901, 128690921, 170261269]",node_004621,node_004619
edge_005321,605287295,605287299,0,188117151,node_004622,node_004625
edge_005322,1421587328,1421587325,0,170261269,node_004623,node_004621
edge_005323,1421587328,1421587432,0,"[128690913, 170261271]",node_004623,node_004654
edge_005324,1421587330,1421587328,0,"[128690917, 727275046]",node_004624,node_004623
edge_005325,605287299,605289112,0,"[55342243, 102414502, 55342280, 102414511, 102414484, 102414489, 188117151]",node_004625,node_005400
edge_005326,9150886787,9150886777,0,183822175,node_004626,node_004620
edge_005327,9150886787,9150886794,0,183822175,node_004626,node_004628
edge_005328,1719120775,1719120854,0,"[1197005528, 159810642]",node_004627,node_004650
edge_005329,9150886794,534575358,0,183822175,node_004628,node_005244
edge_005330,9150886794,9150886787,0,183822175,node_004628,node_004626
edge_005331,320648081,1304730579,0,115497456,node_004629,node_002365
edge_005332,320648081,1304730690,0,"[1311836867, 127031109, 127031079]",node_004629,node_002398
edge_005333,528872338,1359329140,0,121399262,node_004630,node_005046
edge_005334,333165461,35866207,0,"[155236077, 29179382, 29179367]",node_004631,node_000518
edge_005335,1421587349,233760912,0,128690880,node_004632,node_003623
edge_005336,1719120792,1719120940,0,159810613,node_004633,node_004692
edge_005337,1719120792,1719120918,0,"[159810620, 159810629]",node_004633,node_004673
edge_005338,2290922395,1837712871,0,926502759,node_004634,node_000478
edge_005339,2290922396,2290922403,0,219963929,node_004635,node_004638
edge_005340,2290922396,2591095732,0,"[1380262501, 1380262502, 926502761, 547890003, 219963926, 547890006, 219963928, 547890009, 547890011]",node_004635,node_005504
edge_005341,528872348,1359329121,0,121399313,node_004636,node_005036
edge_005342,2290922402,2290922395,0,219963930,node_004637,node_004634
edge_005343,287962022,287964073,0,26289503,node_004639,node_005500
edge_005344,287962022,287963528,0,26288336,node_004639,node_005318
edge_005345,737194920,331880667,0,241451853,node_004640,node_002144
edge_005346,700724139,72855764,0,182981002,node_004641,node_004349
edge_005347,322450348,1634854125,0,150585626,node_004642,node_003272
edge_005348,1805218733,1805218734,0,169352537,node_004643,node_004644
edge_005349,1805218734,1765070586,0,1056891573,node_004644,node_001934
edge_005350,1421587389,1421587325,0,"[170261274, 128690931]",node_004646,node_004621
