road_node_id,original_node_id,x,y
node_000314,1410728945,116.3040285,39.8977515
node_000315,1410728946,116.3044164,39.8977775
node_000316,5963908083,116.7270553,39.6948307
node_000317,4580033524,116.0574973,39.9898135
node_000318,12754224118,116.6817658,39.8706843
node_000319,12754224119,116.6816536,39.8708277
node_000320,5963908106,116.7571559,39.7128193
node_000321,605275146,116.5231052,39.7415048
node_000322,1807827989,116.4386337,39.9849425
node_000323,9793274908,116.3059715,39.8956883
node_000324,1598669873,116.4834087,39.8808695
node_000325,11978556467,116.7259991,39.8589258
node_000326,1598669876,116.4836295,39.8813616
node_000327,244253761,116.4294788,39.9095765
node_000328,320898113,116.2683438,39.90629
node_000329,1833354320,116.3230861,39.8477202
node_000330,11113612373,116.6078154,40.1520915
node_000331,11113612376,116.6251657,40.1604918
node_000332,331007064,116.4727132,39.8095872
node_000333,2453767258,116.3943628,39.8411606
node_000334,2453767259,116.3947477,39.841175
node_000335,2453767260,116.3947827,39.8408025
node_000336,2453767261,116.3943974,39.8407913
node_000337,11113612381,116.6356555,40.1769069
node_000338,11779589230,116.3935545,39.8574287
node_000339,11072406641,116.2086422,39.7854621
node_000340,8195851378,116.3085509,40.0378779
node_000341,9722430584,116.4379381,39.8830764
node_000342,11072406650,116.208806,39.7854955
node_000343,754517121,116.3424218,39.8929935
node_000344,273089666,116.4392057,39.8821343
node_000345,321717390,116.6706414,40.0121829
node_000346,1807828116,116.4362894,39.9867424
node_000347,11551687830,116.0543871,39.6827885
node_000348,1074578586,116.5443387,39.8426163
node_000349,321717403,116.6977241,39.9924809
node_000350,644629661,116.4459041,39.789867
node_000351,644629662,116.4206133,39.7819827
node_000352,644629673,116.4442254,39.7899066
node_000353,1807828138,116.4325955,39.9871963
node_000354,529974456,116.4381065,39.8963004
node_000355,529974457,116.4381783,39.8948859
node_000356,244466876,116.4972636,40.0005411
node_000357,1074578621,116.5407787,39.8464172
node_000358,2636760275,116.5330028,39.7089827
node_000359,10682614998,116.4180274,39.7834233
node_000360,529695965,116.3400594,39.9058644
node_000361,1634403550,116.4553511,39.9141666
node_000362,1634403551,116.4555009,39.9149875
node_000363,358024415,116.652882,39.9216875
node_000364,1634403553,116.4556455,39.9149901
node_000365,1634403554,116.455641,39.9151041
node_000366,6949733600,116.2584342,39.8662411
node_000367,1634403556,116.4558156,39.9157789
node_000368,1634403557,116.4559025,39.9422661
node_000369,6949733607,116.2572662,39.8667586
node_000370,1837712615,116.5378745,39.9123747
node_000371,1074578666,116.5346641,39.8422581
node_000372,1807828202,116.4270496,39.9876792
node_000373,1807828205,116.4333426,39.9876867
node_000374,1074578671,116.5474032,39.8400343
node_000375,1837712625,116.5366405,39.9374275
node_000376,1837712629,116.5362993,39.9372484
node_000377,380765441,116.3703016,39.9056851
node_000378,1074578691,116.5464351,39.8403535
node_000379,8972272900,116.2036155,39.8223229
node_000380,1807828231,116.4295304,39.9877472
node_000381,754517262,116.3426427,39.8930064
node_000382,9296266511,116.4348406,39.9070748
node_000383,1074578704,116.5415822,39.847477
node_000384,9296266513,116.4347387,39.906966
node_000385,9296266514,116.4347526,39.9070724
node_000386,10720724245,116.1282418,39.8870209
node_000387,1074578716,116.5422212,39.8440802
node_000388,1807828254,116.4384767,39.9883199
node_000389,380765472,116.3718689,39.905683
node_000390,1074578722,116.5390969,39.8429304
node_000391,604783906,116.3043211,39.883795
node_000392,644629795,116.4115285,39.7651659
node_000393,325682471,116.2972197,39.9227768
node_000394,9399878951,116.4565611,39.7281159
node_000395,384255273,116.490926,39.8696789
node_000396,1837712682,116.5319342,39.9399292
node_000397,384255274,116.4928421,39.8694583
node_000398,746964268,116.4453632,39.9070221
node_000399,9399878959,116.4563492,39.7294133
node_000400,1807828273,116.4373702,39.989034
node_000401,3983803698,116.4674127,40.1169996
node_000402,1074578737,116.5363507,39.8425573
node_000403,7142360371,116.3949341,39.837052
