node,road_node_id,original_node_id,x,y,unique_neighbor_count,neighbor_node,in_degree,out_degree,connected_edge_count,connected_road_edge_ids,connected_highway,connected_name,connected_total_length_m,connected_oneway,connected_bridge,connected_tunnel
1417716296,node_002927,1417716296,116.2659739,39.8643153,1,1417716295,1,0,1,edge_003387,trunk_link,,90.51439556054301,TRUE,,
332472909,node_002929,332472909,116.3891569,39.8699528,1,9326249537,0,1,1,edge_003391,trunk_link,,250.9564525277512,TRUE,,
1417716312,node_002932,1417716312,116.2931462,39.8650171,1,321415868,1,0,1,edge_004429,trunk_link,,70.52658970063179,TRUE,,
1417716319,node_002936,1417716319,116.2958763,39.8652062,1,1417716326,0,1,1,edge_003400,trunk_link,,71.71169324896881,TRUE,,
1417716324,node_002942,1417716324,116.2920588,39.8653261,1,1417716322,1,0,1,edge_003403,trunk_link,,76.39726092877079,TRUE,,
701735524,node_002948,701735524,116.3812337,39.9871376,1,701735521,0,1,1,edge_003414,trunk_link,,428.77528829703704,TRUE,yes,
1634902636,node_002950,1634902636,116.3754518,39.8559447,1,1634902631,0,1,1,edge_003417,trunk_link,,53.88621424093901,TRUE,,
1417716337,node_002954,1417716337,116.2964011,39.8656411,1,1417716327,0,1,1,edge_003423,trunk_link,丰台北路 入口,79.89806119133286,TRUE,,
322527849,node_002955,322527849,116.4553467,39.8798191,1,273089459,1,0,1,edge_000333,trunk_link,,86.39534990984649,TRUE,,
1362305657,node_002957,1362305657,116.3070633,39.9625366,1,1362305658,0,1,1,edge_003425,trunk_link,,48.43843470587419,TRUE,,
1362305659,node_002959,1362305659,116.3072105,39.9630635,1,1362305660,1,0,1,edge_003427,trunk_link,,62.76267086931727,TRUE,,
1362305665,node_002965,1362305665,116.3093917,39.9638511,1,1362305663,0,1,1,edge_003434,trunk_link,,58.76938648970787,TRUE,,
1362305662,node_002966,1362305662,116.309083,39.9632709,1,1362305661,1,0,1,edge_003430,trunk_link,,53.80269813265858,TRUE,,
1362305669,node_002968,1362305669,116.3017731,39.9644203,1,1745111651,0,1,1,edge_003437,trunk_link,,63.977704290713305,TRUE,,
1695490695,node_002969,1695490695,116.2990611,39.8954959,1,1651225609,0,1,1,edge_003438,trunk_link,,87.2564310941819,TRUE,,
1056760456,node_002970,1056760456,116.3570088,39.8674185,1,1056760420,0,1,1,edge_003439,trunk_link,,88.68396751023691,TRUE,,
1056760457,node_002971,1056760457,116.3958113,39.8712006,1,9719872383,0,1,1,edge_003440,trunk_link,,140.8976757296026,TRUE,yes,
1406706315,node_002973,1406706315,116.5301035,39.8685938,1,1406706303,1,0,1,edge_003435,motorway_link,,78.0841324212075,TRUE,,
1362305674,node_002974,1362305674,116.3012101,39.9644507,1,1362305678,1,0,1,edge_003443,trunk_link,,106.05856424286517,TRUE,,
9934791326,node_002982,9934791326,116.3299022,39.8884222,1,12363475757,0,1,1,edge_003453,trunk_link,,13.28778714269678,TRUE,,
9110856356,node_002985,9110856356,116.1986126,39.8878276,1,320905058,0,1,1,edge_003456,trunk,,49.34375457409353,TRUE,,
1406706346,node_002988,1406706346,116.5196813,39.8689867,1,1406706332,0,1,1,edge_003459,motorway_link,,87.90283012192128,TRUE,,
